City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,Yabrud,SY,33.9674,36.6574,71.6,26,0,1.57,clear sky
289,Chepareria,KE,1.3077,35.2039,60.69,84,94,2.42,overcast clouds
290,Leningradskiy,RU,69.3833,178.4167,46.09,73,100,5.84,overcast clouds
291,Camacha,PT,33.0833,-16.3333,69.22,83,40,13.8,scattered clouds
292,Magaria,NE,12.9983,8.9099,83.59,52,26,6.04,scattered clouds
293,Tocopilla,CL,-22.092,-70.1979,59.99,74,40,3.62,scattered clouds
294,Flin Flon,CA,54.7682,-101.865,69.57,80,70,9.64,broken clouds
295,Kieta,PG,-6.2167,155.6333,83.75,67,95,2.24,overcast clouds
296,Charters Towers,AU,-20.1,146.2667,64.98,58,0,13.85,clear sky
297,Tumaco,CO,1.7986,-78.8156,76.98,89,80,8.21,light rain
298,Lesnoy,RU,57.6198,63.0784,54.16,89,5,4.99,clear sky
299,Kysyl-Syr,RU,63.8986,122.7617,76.95,61,82,4.38,broken clouds
300,Taywarah,AF,33.35,64.4167,61.54,27,51,6.04,broken clouds
301,Saint-Francois,FR,46.4154,3.9054,62.04,77,0,3.44,clear sky
302,Natal,BR,-5.795,-35.2094,75.4,85,57,6.51,broken clouds
303,Yar-Sale,RU,66.8333,70.8333,63.57,86,59,15.46,broken clouds
304,Berberati,CF,4.2612,15.7922,67.01,94,93,2.42,overcast clouds
305,Teya,RU,60.3778,92.6267,63.79,96,100,2.8,overcast clouds
306,Mizan Teferi,ET,6.9833,35.5833,60.8,96,95,2.04,light rain
307,Bilma,NE,18.6853,12.9164,89.02,32,12,6.62,few clouds
308,Vila Velha,BR,-20.3297,-40.2925,76.95,76,40,21.99,scattered clouds
309,Luderitz,NA,-26.6481,15.1594,54.27,75,1,7.25,clear sky
310,Santa Fe,AR,-31.6333,-60.7,60.01,58,65,1.99,light rain
311,Necochea,AR,-38.5473,-58.7368,47.3,69,0,7.18,clear sky
